,TITLE,LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,AMENITIES,CITY,LA_N,RA_N,BY_N,PRICE_N
1301,Bungalow house for sale in Narayanthan,"Narayanthan , Kathmandu",Rs. 5.5 Cr ,11.0 aana,15 Feet,East,2.5,4.0,5.0,2070 B.S,"['Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Parking', 'Garden', 'Power Backup']", Kathmandu,11.0,15,2070,55000000.0
1302,Residential house for sale at Sitapaila,"Sitapaila, Kathmandu",Rs. 1.15 Lac/m,8.2 aana,12 Feet,South-East,3.5,6.0,7.0,2070 B.S,"['Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Kathmandu,8.2,12,2070,1.15
1303,Ful furnished house on sale at Rudreshwor Chowk,"Rudreshwor, Kathmandu",Rs. 4.9 Cr ,5.1 aana,13 Feet,East,2.5,5.0,6.0,2072 B.S,"['Drainage', 'Power Backup', 'Drinking Water', 'Bathroom']", Kathmandu,5.1,13,2072,49000000.0
1304,"Newly Built house on sale at Bafal, Kathmandu","Bafal, Kathmandu",Rs. 2.85 Cr ,4.0 aana,13 Feet,West,2.5,7.0,4.0,2072 B.S,"['Power Backup', 'Drainage', 'Bathroom', 'Drinking Water']", Kathmandu,4.0,13,2072,28500000.0
1305,"Beautiful house on rent in Sanepa, Lalitpur","Sanepa, Lalitpur",Rs. 5 Lac/m,24.0 aana,15-20 Feet,East,2.0,7.0,6.0,2076 B.S,"['Drainage', 'Power Backup', 'Swimming Pool', 'Drinking Water', 'Bathroom', 'Garden']", Lalitpur,24.0,15-20,2076,5.0
1306,Beautiful house for rent at Gairidhara,"Gairidhara, Kathmandu",Rs. 1.5 Lac/m,9.0 aana,13 Feet,South,2.0,4.0,4.0,2076 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Garden', 'Parking', 'Marbel', 'Parquet']", Kathmandu,9.0,13,2076,1.5
1308,"Residential house on sale in 28 Kilo, Dhulikhel","28 Kilo, Kavrepalanchok",Rs. 85 Lac ,2.3 aana,13 Feet,East,1.0,4.0,4.0,2064 B.S,"['Power Backup', 'Drainage', 'Drinking Water', 'Bathroom']", Kavrepalanchok,2.3,13,2064,85.0
1310,"Residential house for sale at Ichangunarayan, Nagarjun","Ichangu Narayan, Kathmandu",Rs. 2.15 Cr ,2.2 aana,9 Feet,West,2.5,4.0,4.0,2076 B.S,"['Power Backup', 'Drainage', 'Drinking Water', 'Bathroom']", Kathmandu,2.2,9,2076,21500000.0
1312,"House for sale at Basanti Chowk, Nagarjun","Basanti Chowk, Kathmandu",Rs. 2.2 Cr ,3.0 aana,10 Feet,South,2.5,4.0,4.0,2065 B.S,"['Marbel', 'Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Kathmandu,3.0,10,2065,22000000.0
1313,"Residential house for sale at Tindhara, Nagarjun","Tindhara, Kathmandu",Rs. 2.2 Cr ,3.0 aana,26 Feet,North,2.5,6.0,5.0,2070 B.S,"['Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Kathmandu,3.0,26,2070,22000000.0
1314,"House for sale at Buddha Chowk, Nagarjun","Buddha Chowk, Kathmandu",Rs. 2.4 Cr ,3.0 aana,10 Feet,West,2.5,4.0,5.0,2065 B.S,"['Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Kathmandu,3.0,10,2065,24000000.0
1316,Beautiful residential bungalow for sale in Bansbari,"Bansbari, Kathmandu",Rs. 8.8 Cr ,12.0 aana,12-18 Feet,East,2.5,6.0,3.0,2069 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking', 'Garden', 'Power Backup', 'AirCon', 'Marbel', 'Parquet']", Kathmandu,12.0,12-18,2069,88000000.0
1318,"Residential house for sale in Hattigauda, Budhanilkantha","Hattigaunda, Kathmandu",Rs. 3.65 Cr ,6.2 aana,13 Feet,North-East,3.0,4.0,3.0,2070 B.S,"['Drainage', 'Drinking Water', 'Bathroom', 'Power Backup']", Kathmandu,6.2,13,2070,36500000.0
1319,Beautiful house on sale in Dholahiti Height,"Dhapakhel, Lalitpur",Rs. 2.7 Cr ,3.3 aana,13 Feet,East,2.5,6.0,4.0,2065 B.S,"['Power Backup', 'Drainage', 'Drinking Water', 'Bathroom']", Lalitpur,3.3,13,2065,27000000.0
1320,Semi furnished houses on sale in Dholahiti Height,"Dholahiti, Lalitpur",Rs. 3.3 Cr ,4.0 aana,12-15 Feet,West,2.5,5.0,4.0,2069 B.S,"['Power Backup', 'Drainage', 'Drinking Water', 'Bathroom']", Lalitpur,4.0,12-15,2069,33000000.0
1323,"House on sale in Gwarko, Lalitpur","Gwarko, Lalitpur",Rs. 2.7 Cr ,3.1 aana,13 Feet,South,3.0,5.0,4.0,2079 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Water Purifier', 'Drainage', 'Parking', 'Modular Kitchen', 'Bathroom', 'Power Backup', 'Drinking Water']", Lalitpur,3.1,13,2079,27000000.0
1324,"House on sale at Mahatto Marg, Bhaisepati","Bhaisepati, Lalitpur",Rs. 4.65 Cr ,4.0 aana,13-15 Feet,South-East,2.5,4.0,4.0,2076 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Modular Kitchen', 'Water Purifier', 'Marbel', 'Parquet', 'Earthquake Resistant', 'Power Backup']", Lalitpur,4.0,13-15,2076,46500000.0
1325,"House for sale at Amarawati Awas, Chandragiri","Matatirtha, Kathmandu",Rs. 2 Cr ,5.1 aana,26 Feet,South,3.0,3.0,3.0,2073 B.S,"['Earthquake Resistant', 'Parking', 'Drainage', 'Bathroom', 'Drinking Water']", Kathmandu,5.1,26,2073,20000000.0
1326,Residential Bungalow for sale in Imadol,"Imadol, Lalitpur",Rs. 3.6 Cr ,7.0 aana,20 Feet,North-East,2.5,5.0,2.0,2070 B.S,"['Earthquake Resistant', 'Marbel', 'Internet', 'Drinking Water', 'Garden', 'Parking', 'Drainage', 'Bathroom']", Lalitpur,7.0,20,2070,36000000.0
1329,Brand new house for rent in Dhapakhel,"Dhapakhel, Lalitpur","Rs. 70,000 /m",4.3 aana,20 Feet,South,2.0,3.0,3.0,2070 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']", Lalitpur,4.3,20,2070,70000.0
1330,"House for sale in Sitapaila, Padma Colony","Sitapaila, Kathmandu",Rs. 2.7 Cr ,4.0 aana,10 Feet,North,3.5,5.0,4.0,2072 B.S,"['Bathroom', 'Internet', 'Drainage', 'Parking', 'Marbel', 'Earthquake Resistant', 'Drinking Water']", Kathmandu,4.0,10,2072,27000000.0
1331,"Beautiful house on sale in Lalitpur, Bhaisepati","Bhaisepati, Lalitpur",Rs. 3 Cr ,3.0 aana,12 Feet,West,2.0,5.0,4.0,2072 B.S,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']", Lalitpur,3.0,12,2072,30000000.0
1332,"Attractive residential house on sale in Bhaisepati, Lalitpur","Bhaisepati, Lalitpur",Rs. 5.1 Cr ,5.0 aana,20 Feet,West,2.5,5.0,4.0,2079 B.S,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']", Lalitpur,5.0,20,2079,51000000.0
1333,New built house on sale in Kapan,"Kapan, Kathmandu",Rs. 2.98 Cr ,4.1 aana,13 Feet,East,3.0,6.0,3.0,2055 B.S,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']", Kathmandu,4.1,13,2055,29800000.0
1334,Residential Bungalow for sale in Mahalaxmisthan,"Mahalaxmisthan, Lalitpur",Rs. 13 Cr ,1.3 aana,12 Feet,South,2.5,7.0,4.0,2072 B.S,"['Marbel', 'Parquet', 'Drainage', 'Garden', 'Bathroom', 'Drinking Water', 'Parking', 'Power Backup']", Lalitpur,1.3,12,2072,130000000.0
1335,"House on sale near Star Hotel, Budhanilkantha Height","Budhanilkantha, Kathmandu",Rs. 4.8 Cr ,8.3 aana,12-18 Feet,East,2.5,5.0,3.0,2069 B.S,"['Earthquake Resistant', 'Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Kathmandu,8.3,12-18,2069,48000000.0
1336,"Bungalow on sale in Bhaisepati, Lalitpur","Bhaisepati, Lalitpur",Rs. 21 Cr ,18.0 aana,20 Feet,East,2.5,6.0,5.0,2069 B.S,"['Marbel', 'Parquet', 'Water Purifier', 'Washing Machine', 'Parking', 'Drinking Water', 'Bathroom', 'Drainage']", Lalitpur,18.0,20,2069,210000000.0
1337,Semi furnished house on sale in Imadol,"Imadol, Lalitpur",Rs. 2.35 Cr ,3.0 aana,13 Feet,East,2.5,5.0,3.0,2079 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Power Backup', 'Water Purifier', 'Parking', 'Modular Kitchen', 'Drainage', 'Drinking Water']", Lalitpur,3.0,13,2079,23500000.0
1338,"Residential house on rent in Chapali, budhanilkantha","Chapali, Kathmandu",Rs. 1.5 Lac/m,16.0 aana,13 Feet,East,2.5,5.0,4.0,2079 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Bathroom', 'Drainage', 'Drinking Water', 'Modular Kitchen']", Kathmandu,16.0,13,2079,1.5
1339,Flat system house for sale at Satdobato,"Satdobato, Lalitpur",Rs. 7 Cr ,10.0 aana,13 Feet,South,4.5,13.0,9.0,2076 B.S,"['Marbel', 'Drainage', 'Bathroom', 'Drinking Water', 'Parking']", Lalitpur,10.0,13,2076,70000000.0
1340,"Beautiful house on rent in Lazimpat, Kathmandu","Lazimpat, Kathmandu",Rs. 2 Lac/m,9.0 aana,16 Feet,North,2.0,6.0,2.0,2073 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']", Kathmandu,9.0,16,2073,2.0
1341,Magnificent house for rent at Budhanilkantha,"Budhanilkantha, Kathmandu",Rs. 2 Lac/m,16.0 aana,20 Feet,South,2.0,3.0,4.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Garden', 'Parking']", Kathmandu,16.0,20,2076,2.0
1342,Commercial house for rent at Kumaripati,"Kumaripati, Lalitpur",Rs. 2.5 Lac/m,24.0 aana,13 Feet,South,2.5,5.0,3.0,2072 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Garden', 'Parking', 'Marbel']", Lalitpur,24.0,13,2072,2.5
1343,"Residential house for sale at Syuchatar, Kathmandu","Syuchatar, Kathmandu",Rs. 2.5 Cr ,3.2 aana,13 Feet,South,2.5,6.0,2.0,2072 B.S,"['Drainage', 'Marbel', 'Bathroom', 'Drinking Water', 'Parking', 'Power Backup']", Kathmandu,3.2,13,2072,25000000.0
1344,Beautiful residential house on sale in Budhanilkantha,"Budhanilkantha, Kathmandu",Rs. 11.5 Cr ,18.0 aana,13 Feet,South-West,2.5,5.0,4.0,2072 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']", Kathmandu,18.0,13,2072,115000000.0
1345,"Residential house on sale in Bafal, Kathmandu","Bafal, Kathmandu",Rs. 2.85 Cr ,4.0 aana,12-15 Feet,South,2.5,5.0,4.0,2079 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Kathmandu,4.0,12-15,2079,28500000.0
1346,"Newly built House for sale at Civil Homes, Sitapaila","Sitapaila, Kathmandu",Rs. 2.75 Cr ,4.1 aana,16 Feet,South-East,2.5,4.0,3.0,2060 B.S,"['Drainage', 'Bathroom', 'Earthquake Resistant', 'Marbel', 'Drinking Water', 'Parking', 'Garden']", Kathmandu,4.1,16,2060,27500000.0
1348,"Beautiful Bungalow House for sale at Padma Colony, Sitapaila","Sitapaila, Kathmandu",Rs. 2.95 Cr ,4.2 aana,16 Feet,South,2.5,4.0,3.0,2072 B.S,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Garden', 'Bathroom', 'Drinking Water', 'Parking']", Kathmandu,4.2,16,2072,29500000.0
1352,"Brand new house for sale at Bharatpur-05, Kalyanpur, Chitwan","Kalyanpur, Chitwan",Rs. 1.4 Cr ,0.14 kattha,20 Feet,South-East,2.0,5.0,4.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Chitwan,0.14,20,2076,14000000.0
1353,House on sale at Purano Naikap,"Purano Naikap, Kathmandu",Rs. 4.8 Cr ,6.2 aana,13 Feet,North-East,3.0,7.0,5.0,2073 B.S,"['Earthquake Resistant', 'Marbel', 'Garden', 'Parking', 'Drinking Water', 'Bathroom', 'Drainage']", Kathmandu,6.2,13,2073,48000000.0
1354,Newly built house on urgent sale at Battisputali,"Battisputali, Kathmandu",Rs. 3.2 Cr ,3.5 aana,20 Feet,West,3.0,7.0,4.0,2076 B.S,"['Fridge', 'Internet', 'Drinking Water', 'Parking', 'Drainage', 'Bathroom']", Kathmandu,3.5,20,2076,32000000.0
1355,Beautiful house for sale in Sitapaila,"Sitapaila, Kathmandu",Rs. 3.15 Cr ,5.0 aana,13 Feet,East,2.5,5.0,5.0,2069 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Power Backup', 'Modular Kitchen', 'Parking', 'Playground', 'Drinking Water', 'Bathroom', 'Drainage']", Kathmandu,5.0,13,2069,31500000.0
1356,"Commercial house for sale in Tilganga, Kathmandu","Tilganga, Kathmandu",Rs. 6.15 Cr ,2.2 aana,20 Feet,South-East,4.5,21.0,21.0,2078 B.S,[], Kathmandu,2.2,20,2078,61500000.0
1357,"Commercial bungalow on rent in Pulchowk, Lalitpur","Pulchowk, Lalitpur",Rs. 3 Lac/m,18.2 aana,20 Feet,South-West,2.5,9.0,6.0,2073 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']", Lalitpur,18.2,20,2073,3.0
1358,"House for sale at Buddha chowk, Thulobharyang","Thulobharyang, Kathmandu",Rs. 1.5 Cr ,2.2 aana,10 Feet,South,1.0,3.0,1.0,2076 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Kathmandu,2.2,10,2076,15000000.0
1359,"House for sale at Jorpati, Gokarneshwor","Jorpati, Kathmandu",Rs. 2.3 Cr ,3.2 aana,10 Feet,South,2.5,5.0,3.0,2061 B.S,"['Earthquake Resistant', 'Marbel', 'Fridge', 'Sofa', 'Bed Room', 'Parking', 'Modular Kitchen', 'Internet', 'Drinking Water', 'Bathroom', 'Drainage']", Kathmandu,3.2,10,2061,23000000.0
1361,House for sale at Balaju Height,"Balaju, Kathmandu",Rs. 5.75 Cr ,9.1 aana,10 Feet,West,2.5,6.0,3.0,2071 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Fridge', 'Sofa', 'CC Camera', 'Power Backup', 'MiCrowave', 'Dining Room', 'Water Purifier', 'Washing Machine']", Kathmandu,9.1,10,2071,57500000.0
1363,Semi furnished house for rent in Dholahiti,"Dholahiti, Lalitpur",Rs. 1.7 Lac/m,54.0 aana,13 Feet,East,2.0,4.0,4.0,2076 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Garden']", Lalitpur,54.0,13,2076,1.7
1364,"Residential house on sale in Naikap, Kalanki","Naikap, Kathmandu",Rs. 2 Cr ,3.1 aana,10 Feet,North,2.5,4.0,2.0,2073 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Earthquake Resistant', 'Marbel', 'Internet', 'Modular Kitchen']", Kathmandu,3.1,10,2073,20000000.0
1365,"Attractive house for sale in Machhapokhari, Kathmandu","Machhapokhari, Kathmandu",Rs. 3 Cr ,4.0 aana,10 Feet,East,2.5,4.0,4.0,2076 B.S,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']", Kathmandu,4.0,10,2076,30000000.0
1366,"Residential house on sale in Rai Chowk, Nagarjun","Rai Chowk, Kathmandu",Rs. 3 Cr ,3.2 kattha,13 Feet,South,3.0,6.0,3.0,2069 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Marbel', 'Internet', 'Power Backup']", Kathmandu,3.2,13,2069,30000000.0
1367,"Beautiful house on sale in Gothatar, Kathmandu","Gothatar, Kathmandu",Rs. 2.68 Cr ,3.2 aana,10 Feet,South-East,3.5,6.0,4.0,2070 B.S,[], Kathmandu,3.2,10,2070,26800000.0
1371,"Brand new duplex house is on sale at Dhapakhel, Height","Dhapakhel, Lalitpur",Rs. 3 Cr ,4.0  aana,20 Feet,South-West,2.5,6.0,4.0,2079 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Lalitpur,4.0,20,2079,30000000.0
1372,"House for rent near Bangladesh Embassy, Basundhara","Basundhara, Kathmandu",Rs. 1.5 Lac/m,12.0 aana,20 Feet,West,2.5,5.0,5.0,2070 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Power Backup', 'Garden']", Kathmandu,12.0,20,2070,1.5
1373,Commercial building for sale in Kageshawri Manohara,"Kageshwari Manohara, Kathmandu",Rs. 3.1 Cr ,3.2 aana,20 Feet,East,3.5,6.0,5.0,2072 B.S,"['Bathroom', 'Drainage', 'Parking', 'Marbel']", Kathmandu,3.2,20,2072,31000000.0
1376,Residential bungalow for sale in Bishalnagar,"Bishalnagar, Kathmandu",Rs. 13 Cr ,10.0 kattha,14 Feet,South-West,2.5,4.0,4.0,2058 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Kathmandu,10.0,14,2058,130000000.0
1377,"House on sale at Simaltar, Budhanilkantha","Simaltar, Kathmandu",Rs. 9.5 Cr ,14.0 aana,20 Feet,North,3.0,9.0,10.0,2072 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Fridge', 'Sofa', 'Water Purifier', 'Garden', 'Iron', 'Modular Kitchen', 'Parking', 'Playground']", Kathmandu,14.0,20,2072,95000000.0
1378,"Residential house for sale in Sunakothi, Civil Homes","Sunakothi, Lalitpur",Rs. 4.25 Cr ,6.0 aana,12-18 Feet,East,2.5,3.0,3.0,2069 B.S,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Lalitpur,6.0,12-18,2069,42500000.0
1379,Commercial house on sale at Pepsicola,"Pepsicola, Kathmandu",Rs. 5 Cr ,4.2 aana,36 Feet,North-East,3.5,3.0,5.0,2069 B.S,"['Marbel', 'Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Power Backup']", Kathmandu,4.2,36,2069,50000000.0
1380,Residential house on sale in Mandikatar Height,"Budhanilkantha, Kathmandu",Rs. 5.35 Cr ,8.0 aana,13 Feet,West,2.5,13.0,5.0,2079 B.S,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']", Kathmandu,8.0,13,2079,53500000.0
1381,Beautiful house for sale in Satdobato,"Satdobato, Lalitpur",Rs. 2.6 Cr ,3.0 aana,13 Feet,East,2.5,4.0,3.0,2079 B.S,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']", Lalitpur,3.0,13,2079,26000000.0
1382,"Newly built house on sale in Bafal, Kathmandu","Bafal, Kathmandu",Rs. 2.4 Cr ,3.1 aana,13 Feet,West,2.5,5.0,3.0,2076 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Kathmandu,3.1,13,2076,24000000.0
1383,"Semi furnished house on rent in Maharajgunj, Losal","Maharajgunj, Kathmandu",Rs. 3 Cr,3.7 aana,12 Feet,South-East,2.5,2.0,2.0,2073 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking', 'Garden', 'Marbel']", Kathmandu,3.7,12,2073,30000000.0
1384,"Under construction house for sale in Bhaisepati, Lalitpur  ","Bhaisepati, Lalitpur",Rs. 5.5 Cr ,5.0 aana,12-20 Feet,South-West,2.5,4.0,5.0,2076 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Lalitpur,5.0,12-20,2076,55000000.0
1386,Beautiful residential house for sale in Budhanilkantha,"Budhanilkantha, Kathmandu",Rs. 3.6 Cr ,4.0 aana,15 Feet,West,2.5,4.0,5.0,2072 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Kathmandu,4.0,15,2072,36000000.0
1387,Residential house for sale at Manamaiju,"Manamaiju, Kathmandu",Rs. 2.75 Cr ,4.0 aana,12 Feet,North,3.5,6.0,4.0,2072 B.S,"['Drainage', 'Bathroom', 'Parking']", Kathmandu,4.0,12,2072,27500000.0
1388,"Residential House for sale at Grande Housing, Dhapasi","Dhapasi, Kathmandu",Rs. 4.25 Cr ,5.0 aana,18 Feet,South,2.5,6.0,5.0,2079 B.S,"['Marbel', 'Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Power Backup']", Kathmandu,5.0,18,2079,42500000.0
1389,House for sale in Balkumari,"Balkumari, Lalitpur",Rs. 4.25 Cr ,4.2 aana,36 Feet,North-East,4.0,16.0,4.0,2060 B.S,"['Drinking Water', 'Bathroom', 'Drainage']", Lalitpur,4.2,36,2060,42500000.0
1390,Commercial house for rent at Maharajgunj,"Maharajgunj, Kathmandu",Rs. 4.50 Cr,4.0 aana,16 Feet,South,2.5,5.0,4.0,2072 B.S,"['Marbel', 'Drinking Water', 'Bathroom', 'Drainage', 'Garden', 'Parking']", Kathmandu,4.0,16,2072,45000000.0
1391,Residential House on sale in Kadaghari,"Kadaghari, Kathmandu",Rs. 2.7 Cr ,3.2 aana,13 Feet,North,2.5,6.0,3.0,2072 B.S,"['Earthquake Resistant', 'Parquet', 'Power Backup', 'Water Purifier', 'Modular Kitchen', 'Parking', 'Drinking Water', 'Bathroom', 'Drainage', 'Marbel']", Kathmandu,3.2,13,2072,27000000.0
1392,"Newly built house for sale near Grande Housing, Dhapasi","Dhapasi, Kathmandu",Rs. 2.85 Cr ,3.2 aana,16 Feet,East,2.5,4.0,4.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Parking', 'Power Backup']", Kathmandu,3.2,16,2076,28500000.0
1393,"Residential land on sale in Lolang, Kathmandu","Lolang, Kathmandu",Rs. 3.55 Cr,3.0 aana,12 Feet,North-East,3.0,4.0,4.0,2073 B.S,[], Kathmandu,3.0,12,2073,35500000.0
1394,"House on sale near Harmony Housing, Tokha","Tokha, Kathmandu",Rs. 2.9 Cr ,4.2 aana,13 Feet,East,2.5,4.0,4.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Parking', 'Power Backup']", Kathmandu,4.2,13,2076,29000000.0
1395,"Beautiful house for sale in Kantipur Colony, Nakhipot","Nakhipot, Lalitpur",Rs. 3.2 Cr ,4.2 aana,20 Feet,West,2.5,5.0,4.0,2072 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Lalitpur,4.2,20,2072,32000000.0
1396,"Semi furnished house on rent in Baluwatar, Kathmandu","Baluwatar, Kathmandu",Rs. 1.4 Lac/m,4.3 aana,12-18 Feet,South,2.5,6.0,3.0,2072 B.S,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Kathmandu,4.3,12-18,2072,1.4
1397,Colony House for sale at Goldhunga Heights,"Goldhunga, Kathmandu",Rs. 3 Cr ,4.2 aana,20 Feet,East,2.5,4.0,4.0,2072 B.S,"['Marbel', 'Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Power Backup']", Kathmandu,4.2,20,2072,30000000.0
1398,"Newly built house is on sale Italitar, Budhanilkantha","Italitar, Kathmandu",Rs. 7.75 Cr ,8.1 aana,20 Feet,East,3.0,5.0,5.0,2075 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Water Purifier', 'Garden', 'Parking', 'Modular Kitchen', 'Drinking Water', 'Bathroom', 'Drainage']", Kathmandu,8.1,20,2075,77500000.0
1401," House for sale at Rudreshwor Chowk, Budhanilkantha","Rudreshwor, Kathmandu",Rs. 5 Cr ,5.1 aana,16 Feet,East,3.0,4.0,5.0,2070 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Bathroom', 'Drainage']", Kathmandu,5.1,16,2070,50000000.0
1402,"Beautiful house on sale in Imadol, Lalitpur","Imadol, Lalitpur",Rs. 1.65 Cr ,3.0 aana,13 Feet,South,1.0,2.0,1.0,2070 B.S,"['Marbel', 'Parquet', 'Parking', 'Bathroom', 'Drinking Water', 'Drainage']", Lalitpur,3.0,13,2070,16500000.0
1403,"Commercial building for sale at Chamati, Banasthali","Chamati, Kathmandu",Rs. 14 Cr ,9.0 aana,26 Feet,West,6.0,15.0,8.0,2072 B.S,"['Bathroom', 'Drainage', 'Drinking Water', 'Parking']", Kathmandu,9.0,26,2072,140000000.0
1404,"Beautiful house on sale at Nakhipot, Lalitpur","Nakhipot, Lalitpur",Rs. 2.4 Cr ,3.0 aana,13 Feet,South,3.0,4.0,4.0,2058 B.S,"['Drinking Water', 'Parking', 'Drainage', 'Bathroom']", Lalitpur,3.0,13,2058,24000000.0
1405,"Residential house for sale in Chapali, Bhangal","Chapali, Kathmandu",Rs. 2.8 Cr ,3.3 aana,13 Feet,North-East,3.0,5.0,3.0,2070 B.S,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Kathmandu,3.3,13,2070,28000000.0
1406,"Semi furnished house on sale at Fulbari Colony, Budhanilkantha","Phulbari Colony, Kathmandu",Rs. 9.2 Cr ,10.0 aana,20 Feet,South-East,2.5,6.0,5.0,2070 B.S,"['Drinking Water', 'Drainage', 'Parking', 'Bathroom']", Kathmandu,10.0,20,2070,92000000.0
1407,"Beautiful house on sale at Jarankhu, Kathmandu","Jarankhu, Kathmandu",Rs. 3.5 Cr ,4.0 aana,13 Feet,West,3.5,7.0,4.0,2058 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Kathmandu,4.0,13,2058,35000000.0
1408,"House for sale in land price at Koteshwor, Kathmandu","Koteshwor, Kathmandu",Rs. 2.75 Cr ,3 aana,26 Feet,North,2.5,6.0,4.0,2078 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Kathmandu,3,26,2078,27500000.0
1409,"Bungalow for sale in land price at Dillibazar, Charkhal","Charkhal, Kathmandu",Rs. 2.85 Cr,4.0 aana,13 Feet,South-East,3.0,8.0,6.0,2076 B.S,"['Drainage', 'Garden', 'Bathroom', 'Drinking Water', 'Parking']", Kathmandu,4.0,13,2076,28500000.0
1410,"Bungalow house on sale at Hattigauda, Budhanilkantha","Hattigaunda, Kathmandu",Rs. 3.65 Cr ,6.1 aana,14 Feet,South,2.5,7.0,7.0,2073 B.S,"['Earthquake Resistant', 'Drinking Water', 'Bathroom', 'Drainage', 'Parking', 'Marbel']", Kathmandu,6.1,14,2073,36500000.0
1411,"Semi furnished house on sale in Hattigauda, Budhanilkantha","Hattigaunda, Kathmandu",Rs. 4.5 Cr ,5.0 aana,15 Feet,North-East,2.5,6.0,5.0,2076 B.S,"['Bathroom', 'Drinking Water', 'Parking', 'Drainage', 'Power Backup']", Kathmandu,5.0,15,2076,45000000.0
1413,"Attractive residential house on sale in Balkhu, Kathmandu","Balkhu, Kathmandu",Rs. 7.2 Cr ,8.0 aana,20 Feet,West,2.5,7.0,5.0,2072 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Kathmandu,8.0,20,2072,72000000.0
1414,"Furnished House for rent near Basketball Court, Golfutar","Golfutar, Kathmandu",Rs. 2.5 Cr ,3.2 aana,16 Feet,South,2.5,4.0,4.0,2072 B.S,"['Drainage', 'Garden', 'Bathroom', 'Drinking Water', 'Marbel', 'Parquet', 'Parking']", Kathmandu,3.2,16,2072,25000000.0
